X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32
11.89%,54734,80364,"$25,000","$25,000","$19,080", 36 months,B,B4,,< 1 year,RENT,85000,VERIFIED - income,9-Aug,"Due to a lack of personal finance education and exposure to poor financing skills growing up, I was easy prey for credit predators. I am devoted to becoming debt-free and can assure my lenders that I will pay on-time every time. I have never missed a payment during the last 16 years that I have had credit. ",debt_consolidation,Debt consolidation for on-time payer,941xx,CA,19.48,0,Feb-94,0,,,10,0,28854,52.10%,42,f
10.71%,55742,114426,"$7,000","$7,000",$673, 36 months,B,B5,CNN,< 1 year,RENT,65000,not verified,8-May,Just want to pay off the last bit of credit card debt at a better rate.,credit_card,Credit Card payoff,112xx,NY,14.29,0,Oct-00,0,,,7,0,33623,76.70%,7,f
16.99%,57167,137225,"$25,000","$25,000","$24,725", 36 months,D,D3,Web Programmer,1 year,RENT,70000,VERIFIED - income,14-Aug,Trying to pay a friend back for apartment broker's fee incurred from as well as credit card stuff.,debt_consolidation,mlue,100xx,NY,10.5,0,Jun-00,0,41,,10,0,19878,66.30%,17,f
13.11%,57245,138150,"$1,200","$1,200","$1,200", 36 months,C,C2,city of beaumont texas,10+ years,OWN,54000,not verified,10-Mar,"If funded, I would use this loan consolidate two loans with interest rates of 15 and 16 percent respectively.   I have no mortgage.  One car is paid for and the other I bought from my sister.  I pay her $200 / month.  I owe her about $1000.  The biggest monthly expense we have is tuition for two kids going to Catholic School, ($600 / month).    I have been on the same job since 1990, with a salary of $54,000.  My husband has been on the same job since 1995, with a salary of $30,000.  My monthy expenses run about $2750.    Borrower added on 03/11/10 > We have really worked hard to clean up our credit during the past five years.  We are really wanting to use this loan to continue that by paying off higher interest loans with this loan.<br/>",debt_consolidation,zxcvb,777xx,TX,5.47,0,Jan-85,0,64,,5,0,2584,40.40%,31,f
13.57%,57416,139635,"$10,800","$10,800","$10,692", 36 months,C,C3,State Farm Insurance,6 years,RENT,32000,not verified,9-Nov,I currently have a personal loan with Citifinancial that I have a high interest rate on I need 7000 to pay this off.  I also have 3 other creidit cards I would like to pay off with this loan to get this into one easy payment.  139635 added on 11/04/09 > Having one monthly payment will be a lot easier instead of making multiple payments to different companies.  I have paid all of my bills on time<br/>,debt_consolidation,Nicolechr1978,067xx,CT,11.63,0,Dec-96,1,58,,14,0,3511,25.60%,40,f
19.05%,58524,149512,"$7,200","$7,200","$7,200", 36 months,D,D4,Arkwright,9 years,RENT,58000,VERIFIED - income source,12-Aug,"Credit cards are out of here, I am tired of being in debt.  I have a girlfriend and her daughter, that I am starting a life with.  I will pay all of this off one way or another, but I would rather do it with your help instead of the faceless bank!  Can you help me?  ",debt_consolidation,caminijio,028xx,RI,2.05,0,Apr-94,0,26,,6,0,3874,90.10%,25,f
10.08%,58915,153417,"$7,500","$5,025",$557, 36 months,B,B3,QUalcomm Inc,3 years,RENT,85000,not verified,8-Apr,"Hi :         Thanks for stopping by. I've accrued close to $30,000 expenses while finishing masters degree in computer science.         Now i've a very good job and paying off one card by another. I want to consolidate all the debt at low APR and get rid of all the high APR cards.  Thanks -N ",debt_consolidation,sdguy,921xx,CA,8.1,0,Nov-00,1,,,3,0,33667,73.20%,11,f
14.26%,59006,154254,"$3,000","$3,000","$2,988", 36 months,C,C5,,3 years,MORTGAGE,80800,not verified,9-Sep,I am seeking to refinance a credit account which I closed with a balance when I rejected the new terms of the cardmember agreement.  This closed account is adversely affecting my credit utilization percentage and I would prefer to move it to a fixed-rate loan.  I am a software developer who has been in a stable position with the same company since 2004.  I am up-to-date on all payments and am seeking only to reduce the interest rate of this debt.    Thank you for your consideration.,credit_card,Rejecting new cardmember agreement,775xx,TX,14.97,1,Jul-98,0,13,0,13,0,4740,39.50%,23,f
7.88%,61390,182594,"$4,000","$4,000","$3,900", 36 months,A,A5,,< 1 year,MORTGAGE,148000,not verified,10-Feb,I am searching for a lower rate.  I am very trustworthy and pay my bills on time but my debt ratio has been a little high over the years and my credit card rate has gone wild!    I would rather see the common man get my money than the banking industry so here I am. Borrower added on 02/06/10 > I will have all credit card debt eliminated in under two years.<br/>,credit_card,ilikehorses,775xx,TX,16.98,0,May-93,0,,,11,0,50807,51%,19,f
14.96%,61419,182917,"$5,600","$5,600","$5,525", 36 months,D,D2,Pension Benefit Guaranty Corporation,1 year,RENT,45000,not verified,10-Feb,"This loan is for the purpose of gaining legal custody and visitation rights for my daughter. I want to hire an attorney of quality that will help me obtain my goal.  My daughter lives in another state and I just want what is my mine legally and naturally as her father. I love her very much, she is 5 years old and also loves me very much. ",debt_consolidation,Athomas74,208xx,MD,4,0,1-Jun,0,38,63,5,1,3839,76.80%,9,f
